date,Civilian Labor Force Level (000s) Period Chg,Labor Force Participation Rate Period Chg,Employment-Population Ratio Period Chg,Total Nonfarm Payrolls (000s) Period Chg,Average Hourly Earnings - All Employees Period Chg,Average Weekly Hours - All Employees Period Chg,Average Hourly Earnings - Production Workers Period Chg
1946-11-01,,,,0.7,,,
1946-12-01,,,,-0.04,,,
1947-01-01,,,,0.36,,,
1947-02-01,,,,0.05,,,
1947-03-01,,,,0.11,,,
1947-04-01,,,,-0.25,,,
1947-05-01,,,,0.32,,,
1947-06-01,,,,0.39,,,
1947-07-01,,,,-0.15,,,
1947-08-01,,,,0.5,,,
1947-09-01,,,,0.55,,,
1947-10-01,,,,0.47,,,
1947-11-01,,,,0.16,,,
1947-12-01,,,,0.22,,,
1948-01-01,,,,0.22,,,
1948-02-01,0.71,0.3,0.1,-0.33,,,
1948-03-01,-0.75,-0.4,-0.6,0.34,,,
1948-04-01,1.01,0.5,0.6,-0.68,,,
1948-05-01,-1.16,-0.7,-0.5,0.94,,,
1948-06-01,1.64,0.9,0.8,0.53,,,
1948-07-01,0.37,0.1,0.1,0.28,,,
1948-08-01,-0.61,-0.4,-0.5,0.04,,,
1948-09-01,0.01,0.0,0.0,0.26,,,
1948-10-01,-0.28,-0.2,-0.1,-0.11,,,
1948-11-01,0.09,0.0,0.0,-0.12,,,
1948-12-01,0.77,0.4,0.3,-0.35,,,
1949-01-01,-0.65,-0.4,-0.6,-0.81,,,
1949-02-01,0.47,0.3,0.0,-0.38,,,
1949-03-01,0.03,-0.1,-0.2,-0.58,,,
1949-04-01,-0.11,-0.1,-0.3,-0.01,,,
1949-05-01,0.41,0.2,-0.3,-0.57,,,
1949-06-01,-0.51,-0.4,-0.4,-0.56,,,
1949-07-01,0.58,0.3,0.0,-0.48,,,
1949-08-01,0.47,0.3,0.1,0.21,,,
1949-09-01,0.07,-0.1,0.2,0.36,,,
1949-10-01,0.9,0.5,-0.4,-1.91,,,
1949-11-01,-0.29,-0.2,0.7,0.7,,,
1949-12-01,-0.16,-0.2,-0.3,0.65,,,
1950-01-01,-0.4,-0.3,-0.2,0.01,,,
1950-02-01,0.04,0.0,0.0,-0.53,,,
1950-03-01,-0.13,-0.1,0.0,1.52,,,
1950-04-01,0.9,0.4,0.7,0.97,,,
1950-05-01,-0.12,-0.1,0.0,0.76,,,
1950-06-01,0.54,0.3,0.4,0.82,,,
1950-07-01,-0.48,-0.3,-0.1,0.82,,,
1950-08-01,0.76,0.4,0.7,1.62,,,
1950-09-01,-0.39,-0.3,-0.2,0.53,,,
1950-10-01,0.13,0.2,0.3,0.58,,,
1950-11-01,-0.23,-0.1,0.0,0.15,,,
1950-12-01,-0.35,-0.1,-0.2,0.18,,,
1951-01-01,-0.2,-0.1,0.2,0.91,,,
1951-02-01,-0.26,0.0,0.1,0.61,,,
1951-03-01,1.21,0.7,0.7,0.62,,,
1951-04-01,-1.15,-0.7,-0.4,-0.03,,,
1951-05-01,0.38,0.3,0.3,0.19,,,
1951-06-01,-0.69,-0.4,-0.5,0.23,,,
1951-07-01,0.8,0.4,0.5,-0.01,,,
1951-08-01,-0.29,-0.2,-0.2,-0.1,,,
1951-09-01,-0.24,-0.1,-0.3,-0.12,,,
1951-10-01,0.69,0.3,0.2,0.11,,,
1951-11-01,-0.31,-0.2,-0.2,0.29,,,
1951-12-01,0.71,0.4,0.6,0.35,,,
1952-01-01,-0.04,-0.1,0.0,-0.04,,,
1952-02-01,-0.02,0.0,0.0,0.47,,,
1952-03-01,-1.12,-0.6,-0.6,-0.04,,,
1952-04-01,0.0,-0.1,0.0,0.24,,,
1952-05-01,0.55,0.3,0.2,0.05,,,
1952-06-01,0.07,0.0,0.0,-0.74,,,
1952-07-01,-0.23,-0.2,-0.3,-0.29,,,
1952-08-01,-0.14,-0.2,-0.2,1.62,,,
1952-09-01,0.94,0.5,0.6,0.81,,,
1952-10-01,-0.78,-0.5,-0.5,0.56,,,
1952-11-01,0.84,0.4,0.6,0.44,,,
1952-12-01,0.21,0.1,0.1,0.7,,,
1953-01-01,1.31,0.3,0.2,-0.04,,,
1953-02-01,0.13,0.0,0.2,0.39,,,
1953-03-01,0.22,0.1,0.1,0.27,,,
1953-04-01,-0.77,-0.5,-0.6,-0.08,,,
1953-05-01,-0.87,-0.5,-0.4,0.11,,,
1953-06-01,0.72,0.3,0.3,0.06,,,
1953-07-01,-0.01,0.0,0.0,0.03,,,
1953-08-01,-0.38,-0.3,-0.3,-0.09,,,
1953-09-01,-0.14,-0.1,-0.3,-0.24,,,
1953-10-01,0.22,0.0,-0.1,-0.25,,,
1953-11-01,0.13,0.1,-0.2,-0.66,,,
1953-12-01,-0.24,-0.3,-0.8,-0.41,,,
1954-01-01,0.49,0.3,0.0,-0.47,,,
1954-02-01,1.42,0.7,0.5,-0.18,,,
1954-03-01,-0.31,-0.2,-0.5,-0.46,,,
1954-04-01,0.22,0.1,0.0,0.04,,,
1954-05-01,-0.41,-0.3,-0.3,-0.44,,,
1954-06-01,-0.52,-0.4,-0.2,-0.14,,,
1954-07-01,-0.06,-0.1,-0.2,-0.12,,,
1954-08-01,0.64,0.3,0.2,-0.02,,,
1954-09-01,0.79,0.5,0.3,0.12,,,
1954-10-01,-0.43,-0.4,0.0,0.11,,,
1954-11-01,-0.28,-0.2,0.0,0.49,,,
1954-12-01,-0.7,-0.5,-0.3,0.31,,,
1955-01-01,0.94,0.5,0.5,0.33,,,
1955-02-01,-0.33,-0.2,0.0,0.3,,,
1955-03-01,0.29,0.1,0.1,0.64,,,
1955-04-01,1.07,0.5,0.4,0.57,,,
1955-05-01,-0.28,-0.2,0.1,0.53,,,
1955-06-01,0.16,0.0,0.0,0.55,,,
1955-07-01,1.03,0.5,0.6,0.39,,,
1955-08-01,0.67,0.4,0.2,0.24,,,
1955-09-01,0.07,0.0,0.1,0.3,,,
1955-10-01,0.29,0.1,0.0,0.32,,,
1955-11-01,0.33,0.1,0.2,0.32,,,
1955-12-01,0.62,0.3,0.3,0.41,,,
1956-01-01,-0.04,0.0,0.1,0.33,,,
1956-02-01,-0.44,-0.3,-0.3,0.37,,,
1956-03-01,0.08,-0.1,-0.2,0.24,,,
1956-04-01,0.13,0.1,0.2,0.15,,,
1956-05-01,0.69,0.3,0.1,0.25,,,
1956-06-01,-0.03,-0.1,-0.1,0.15,,,
1956-07-01,0.07,0.0,0.0,-1.2,,,
1956-08-01,-0.12,-0.1,0.1,1.3,,,
1956-09-01,0.06,0.0,0.0,-0.05,,,
1956-10-01,-0.25,-0.2,-0.1,0.33,,,
1956-11-01,0.17,0.0,-0.2,0.08,,,
1956-12-01,0.06,0.0,0.0,0.2,,,
1957-01-01,-0.41,-0.3,-0.3,-0.08,,,
1957-02-01,0.68,0.4,0.5,0.4,,,
1957-03-01,0.05,-0.1,0.1,0.11,,,
1957-04-01,-0.4,-0.3,-0.4,0.15,,,
1957-05-01,0.07,0.0,-0.1,-0.17,,,
1957-06-01,0.54,0.3,0.1,-0.16,,,
1957-07-01,0.42,0.2,0.3,0.11,,,
1957-08-01,-0.94,-0.7,-0.6,0.01,,,
1957-09-01,0.54,0.3,0.1,-0.37,,,
1957-10-01,0.0,-0.1,-0.2,-0.32,,,
1957-11-01,0.08,0.0,-0.4,-0.39,,,
1957-12-01,0.41,0.1,0.2,-0.33,,,
1958-01-01,-0.45,-0.3,-0.7,-0.59,,,
1958-02-01,0.16,0.0,-0.4,-0.96,,,
1958-03-01,0.03,0.0,-0.2,-0.54,,,
1958-04-01,0.63,0.3,-0.1,-0.53,,,
1958-05-01,0.37,0.2,0.2,-0.22,,,
1958-06-01,-0.33,-0.3,-0.2,0.0,,,
1958-07-01,0.22,0.1,0.0,0.25,,,
1958-08-01,0.31,0.2,0.2,0.38,,,
1958-09-01,-0.05,-0.1,0.0,0.53,,,
1958-10-01,0.06,-0.1,0.2,-0.04,,,
1958-11-01,-0.57,-0.4,-0.1,0.89,,,
1958-12-01,0.12,0.0,0.0,0.27,,,
1959-01-01,0.29,0.1,0.2,0.75,,,
1959-02-01,-0.42,-0.3,-0.2,0.4,,,
1959-03-01,0.62,0.3,0.5,0.62,,,
1959-04-01,0.4,0.1,0.3,0.58,,,
1959-05-01,-0.24,-0.2,-0.1,0.43,,,
1959-06-01,0.15,0.0,0.1,0.24,,,
1959-07-01,0.38,0.2,0.0,0.23,,,
1959-08-01,-0.16,-0.2,-0.2,-0.87,,,
1959-09-01,0.17,0.1,-0.1,0.17,,,
1959-10-01,0.4,0.1,0.1,-0.13,,,
1959-11-01,-0.42,-0.3,-0.4,0.52,,,
1959-12-01,0.67,0.4,0.6,1.01,,,
1960-01-01,-0.05,-0.4,-0.3,0.18,,,
1960-02-01,-0.02,0.0,0.2,0.44,,,
1960-03-01,-0.8,-0.6,-0.8,-0.11,,,
1960-04-01,1.73,1.0,1.0,0.66,,,
1960-05-01,0.07,0.0,0.0,-0.62,,,
1960-06-01,0.44,0.2,0.1,-0.23,,,
1960-07-01,-0.27,-0.2,-0.3,-0.08,,,
1960-08-01,0.14,0.0,-0.1,-0.06,,,
1960-09-01,0.44,0.2,0.3,-0.08,,,
1960-10-01,-0.38,-0.3,-0.6,-0.16,,,
1960-11-01,0.79,0.4,0.3,-0.33,,,
1960-12-01,-0.06,-0.1,-0.4,-0.41,,,
1961-01-01,0.07,-0.1,0.0,-0.11,,,
1961-02-01,-0.04,0.0,-0.2,-0.23,,,
1961-03-01,0.4,0.1,0.1,0.19,,,
1961-04-01,-0.62,-0.4,-0.4,-0.06,,,
1961-05-01,0.26,0.1,0.0,0.3,,,
1961-06-01,0.6,0.3,0.4,0.36,,,
1961-07-01,-0.48,-0.4,-0.4,0.27,,,
1961-08-01,0.0,0.0,0.1,0.32,,,
1961-09-01,-0.45,-0.3,-0.3,0.17,,,
1961-10-01,0.39,0.1,0.3,0.25,,,
1961-11-01,-0.16,0.0,0.2,0.4,,,
1961-12-01,-0.42,-0.3,-0.2,0.24,,,
1962-01-01,0.16,0.0,0.1,0.03,,,
1962-02-01,0.31,0.2,0.3,0.54,,,
1962-03-01,0.01,-0.1,0.0,0.16,,,
1962-04-01,-0.19,-0.2,-0.3,0.59,,,
1962-05-01,0.39,0.2,0.3,0.05,,,
1962-06-01,-0.05,-0.1,-0.1,0.03,,,
1962-07-01,-0.3,-0.3,-0.3,0.18,,,
1962-08-01,0.97,0.5,0.4,0.17,,,
1962-09-01,0.24,0.0,0.0,0.25,,,
1962-10-01,-0.33,-0.3,-0.2,0.11,,,
1962-11-01,-0.06,-0.2,-0.3,0.03,,,
1962-12-01,-0.02,-0.1,0.0,-0.05,,,
1963-01-01,0.41,0.2,0.0,0.16,,,
1963-02-01,0.16,0.0,-0.1,0.2,,,
1963-03-01,0.23,0.0,0.2,0.16,,,
1963-04-01,0.38,0.2,0.2,0.46,,,
1963-05-01,0.19,0.0,-0.2,0.06,,,
1963-06-01,-0.29,-0.3,0.0,0.08,,,
1963-07-01,0.46,0.2,0.1,0.24,,,
1963-08-01,-0.24,-0.2,0.0,0.2,,,
1963-09-01,0.48,0.2,0.1,0.3,,,
1963-10-01,0.21,0.1,0.0,0.36,,,
1963-11-01,0.19,0.0,-0.1,-0.05,,,
1963-12-01,-0.32,-0.3,-0.1,0.19,,,
1964-01-01,0.23,0.1,0.0,0.22,,,
1964-02-01,0.45,0.2,0.3,0.46,,,0.0
1964-03-01,0.04,-0.1,-0.1,0.25,,,0.4
1964-04-01,0.77,0.4,0.4,0.04,,,0.4
1964-05-01,0.17,0.0,0.2,0.29,,,0.0
1964-06-01,-0.49,-0.4,-0.5,0.22,,,0.4
1964-07-01,-0.03,-0.1,0.1,0.33,,,0.4
1964-08-01,0.15,0.0,0.0,0.35,,,0.39
1964-09-01,0.24,0.1,0.0,0.48,,,0.39
1964-10-01,0.02,-0.1,-0.1,-0.19,,,-0.39
1964-11-01,-0.03,-0.1,0.1,0.72,,,0.39
1964-12-01,0.24,0.1,-0.1,0.34,,,0.78
1965-01-01,0.14,0.0,0.1,0.27,,,0.0
1965-02-01,0.39,0.1,0.0,0.37,,,0.39
1965-03-01,0.12,0.0,0.2,0.34,,,0.77
1965-04-01,0.38,0.1,0.1,0.43,,,-0.38
1965-05-01,0.32,0.2,0.2,0.39,,,0.77
1965-06-01,-0.07,-0.2,-0.1,0.33,,,0.38
1965-07-01,0.47,0.3,0.4,0.45,,,0.0
1965-08-01,-0.19,-0.2,-0.2,0.43,,,0.38
1965-09-01,-0.15,-0.2,-0.1,0.43,,,0.38
1965-10-01,0.45,0.2,0.2,0.37,,,0.38
1965-11-01,-0.05,-0.1,0.0,0.45,,,0.38
1965-12-01,0.4,0.2,0.2,0.53,,,0.0
1966-01-01,0.12,0.0,0.1,0.33,,,0.37
1966-02-01,-0.31,-0.2,-0.1,0.43,,,0.37
1966-03-01,0.16,0.0,0.0,0.63,,,0.37
1966-04-01,0.35,0.2,0.2,0.39,,,0.37
1966-05-01,0.14,0.0,-0.1,0.43,,,0.37
1966-06-01,0.27,0.1,0.2,0.63,,,0.37
1966-07-01,0.12,0.0,0.0,0.3,,,0.37
1966-08-01,0.41,0.2,0.1,0.32,,,0.36
1966-09-01,0.01,0.0,0.1,0.21,,,0.36
1966-10-01,0.19,0.0,0.0,0.33,,,0.36
1966-11-01,0.54,0.3,0.3,0.25,,,0.36
1966-12-01,0.04,-0.1,-0.1,0.28,,,0.0
1967-01-01,0.0,0.0,-0.2,0.32,,,0.72
1967-02-01,-0.15,-0.2,-0.1,0.03,,,0.36
1967-03-01,-0.25,-0.2,-0.2,0.15,,,0.0
1967-04-01,0.59,0.3,0.3,-0.1,,,0.36
1967-05-01,-0.01,-0.1,-0.1,0.24,,,0.35
1967-06-01,0.65,0.3,0.3,0.2,,,0.71
1967-07-01,0.25,0.0,0.1,0.21,,,0.35
1967-08-01,0.32,0.1,0.0,0.39,,,0.7
1967-09-01,0.13,0.0,0.0,0.03,,,0.0
1967-10-01,0.49,0.2,0.1,0.09,,,0.35
1967-11-01,0.0,-0.1,0.0,0.72,,,0.69
1967-12-01,0.38,0.1,0.1,0.3,,,0.34
1968-01-01,-1.16,-0.7,-0.6,-0.14,,,0.68
1968-02-01,0.84,0.4,0.3,0.62,,,0.34
1968-03-01,0.03,0.0,0.1,0.12,,,0.68
1968-04-01,0.02,-0.1,0.0,0.39,,,0.67
1968-05-01,0.74,0.4,0.4,0.14,,,0.33
1968-06-01,0.35,0.1,0.0,0.37,,,0.33
1968-07-01,-0.19,-0.2,-0.2,0.33,,,0.66
1968-08-01,-0.2,-0.2,-0.1,0.3,,,0.33
1968-09-01,0.06,-0.1,0.0,0.23,,,0.99
1968-10-01,0.07,0.0,0.0,0.35,,,0.33
1968-11-01,0.38,0.1,0.1,0.38,,,0.65
1968-12-01,0.32,0.1,0.1,0.38,,,0.32
1969-01-01,0.08,-0.1,-0.1,0.28,,,0.32
1969-02-01,0.62,0.4,0.3,0.37,,,0.64
1969-03-01,0.07,-0.1,0.0,0.3,,,0.64
1969-04-01,0.25,0.1,0.0,0.24,,,0.63
1969-05-01,-0.19,-0.2,-0.1,0.37,,,0.31
1969-06-01,0.71,0.3,0.2,0.44,,,0.63
1969-07-01,0.16,0.0,0.0,0.13,,,0.31
1969-08-01,0.35,0.2,0.1,0.39,,,0.62
1969-09-01,0.23,0.0,0.0,-0.13,,,0.62
1969-10-01,0.25,0.1,0.0,0.29,,,0.61
1969-11-01,-0.12,-0.2,0.0,-0.05,,,0.61
1969-12-01,0.28,0.0,0.0,0.22,,,0.3
1970-01-01,0.44,0.2,-0.1,-0.09,,,0.0
1970-02-01,0.21,0.0,-0.1,0.18,,,0.6
1970-03-01,0.42,0.2,0.0,0.2,,,0.9
1970-04-01,0.28,0.0,0.0,-0.14,,,0.0
1970-05-01,-0.29,-0.3,-0.4,-0.31,,,0.3
1970-06-01,0.0,-0.1,-0.2,-0.13,,,0.89
1970-07-01,0.51,0.2,0.1,0.03,,,0.29
1970-08-01,-0.03,-0.1,-0.2,-0.16,,,0.88
1970-09-01,0.09,-0.1,-0.2,0.01,,,0.29
1970-10-01,0.39,0.2,0.0,-0.6,,,0.0
1970-11-01,0.33,0.0,-0.1,-0.16,,,0.58
1970-12-01,0.15,0.0,-0.2,0.54,,,0.86
1971-01-01,0.22,0.0,0.1,0.1,,,0.86
1971-02-01,-0.29,-0.3,-0.2,-0.08,,,0.57
1971-03-01,-0.03,-0.1,-0.2,0.07,,,0.28
1971-04-01,0.44,0.1,0.2,0.25,,,0.56
1971-05-01,0.23,0.1,0.0,0.3,,,0.84
1971-06-01,-0.51,-0.4,-0.4,0.01,,,0.28
1971-07-01,0.76,0.3,0.3,0.09,,,0.28
1971-08-01,0.39,0.1,0.1,0.08,,,0.83
1971-09-01,0.07,-0.1,0.0,0.34,,,0.27
1971-10-01,0.17,0.0,0.0,0.04,,,0.27
1971-11-01,0.69,0.3,0.2,0.29,,,0.54
1971-12-01,0.2,0.0,0.0,0.36,,,0.81
1972-01-01,0.41,-0.2,-0.1,0.46,,,1.88
1972-02-01,0.07,0.0,0.0,0.29,,,0.53
1972-03-01,0.67,0.3,0.2,0.41,,,0.52
1972-04-01,0.0,-0.1,0.0,0.3,,,0.52
1972-05-01,0.23,0.0,0.1,0.42,,,0.52
1972-06-01,0.23,0.0,0.0,0.39,,,0.0
1972-07-01,0.16,0.0,0.0,-0.07,,,0.52
1972-08-01,0.43,0.2,0.1,0.59,,,0.51
1972-09-01,-0.14,-0.2,-0.1,0.17,,,0.51
1972-10-01,0.11,-0.1,0.0,0.55,,,0.76
1972-11-01,0.12,0.0,0.2,0.4,,,0.5
1972-12-01,0.4,0.2,0.1,0.39,,,0.25
1973-01-01,-0.52,-0.5,-0.2,0.46,,,0.75
1973-02-01,1.0,0.5,0.4,0.53,,,0.5
1973-03-01,0.55,0.3,0.3,0.36,,,0.25
1973-04-01,0.19,0.0,-0.1,0.22,,,0.74
1973-05-01,-0.05,-0.2,0.0,0.25,,,0.24
1973-06-01,0.64,0.3,0.3,0.31,,,0.49
1973-07-01,0.06,0.0,-0.1,0.03,,,0.73
1973-08-01,-0.11,-0.2,-0.1,0.33,,,0.24
1973-09-01,0.37,0.1,0.1,0.14,,,0.96
1973-10-01,0.33,0.1,0.2,0.43,,,0.24
1973-11-01,0.65,0.3,0.1,0.4,,,0.71
1973-12-01,0.19,0.0,0.0,0.14,,,0.24
1974-01-01,0.34,0.1,0.0,0.09,,,0.47
1974-02-01,0.31,0.1,0.0,0.2,,,0.47
1974-03-01,-0.03,-0.1,0.0,0.05,,,0.7
1974-04-01,-0.18,-0.2,-0.2,0.11,,,0.23
1974-05-01,0.34,0.1,0.0,0.21,,,1.62
1974-06-01,0.3,0.0,0.0,0.07,,,0.91
1974-07-01,0.37,0.2,0.0,0.04,,,0.23
1974-08-01,-0.17,-0.2,-0.2,-0.02,,,0.9
1974-09-01,0.47,0.2,-0.1,-0.01,,,0.89
1974-10-01,0.03,-0.1,-0.1,0.03,,,0.66
1974-11-01,0.27,0.0,-0.3,-0.46,,,0.22
1974-12-01,0.02,-0.1,-0.4,-0.78,,,0.66
1975-01-01,0.38,0.2,-0.5,-0.46,,,0.22
1975-02-01,-0.38,-0.4,-0.3,-0.49,,,0.65
1975-03-01,0.42,0.2,-0.1,-0.35,,,0.65
1975-04-01,0.25,0.1,-0.1,-0.25,,,0.0
1975-05-01,0.52,0.2,0.1,0.21,,,0.43
1975-06-01,-0.33,-0.3,-0.2,-0.13,,,0.64
1975-07-01,0.48,0.1,0.2,0.33,,,0.42
1975-08-01,0.15,0.0,0.1,0.5,,,0.84
1975-09-01,0.04,-0.1,0.0,0.1,,,0.21
1975-10-01,0.07,0.0,0.0,0.4,,,0.63
1975-11-01,-0.02,-0.1,-0.1,0.19,,,0.83
1975-12-01,0.17,0.0,0.1,0.43,,,0.21
1976-01-01,0.56,0.2,0.3,0.62,,,0.62
1976-02-01,0.07,0.0,0.1,0.4,,,0.61
1976-03-01,0.23,0.0,0.2,0.29,,,0.41
1976-04-01,0.56,0.3,0.1,0.31,,,0.61
1976-05-01,0.11,-0.1,0.2,0.03,,,0.6
1976-06-01,0.04,0.0,-0.2,0.08,,,0.4
1976-07-01,0.73,0.3,0.2,0.22,,,0.6
1976-08-01,0.16,0.0,0.0,0.2,,,0.99
1976-09-01,-0.19,-0.2,-0.1,0.24,,,0.59
1976-10-01,0.16,0.0,0.0,0.02,,,0.39
1976-11-01,0.57,0.3,0.1,0.41,,,0.97
1976-12-01,0.1,-0.1,0.0,0.26,,,0.38
1977-01-01,-0.14,-0.2,0.0,0.3,,,0.57
1977-02-01,0.59,0.3,0.2,0.37,,,0.76
1977-03-01,0.34,0.1,0.2,0.5,,,0.38
1977-04-01,0.22,0.1,0.2,0.41,,,0.75
1977-05-01,0.34,0.1,0.2,0.44,,,0.75
1977-06-01,0.43,0.2,0.1,0.49,,,0.37
1977-07-01,-0.18,-0.3,-0.1,0.42,,,0.74
1977-08-01,0.46,0.2,0.2,0.29,,,0.37
1977-09-01,0.09,0.0,0.1,0.55,,,0.55
1977-10-01,0.36,0.1,0.1,0.32,,,0.73
1977-11-01,0.76,0.4,0.4,0.45,,,0.54
1977-12-01,-0.08,-0.1,0.1,0.28,,,0.54
1978-01-01,0.38,0.1,0.1,0.22,,,0.89
1978-02-01,-0.04,-0.1,0.0,0.42,,,0.53
1978-03-01,0.25,0.1,0.0,0.6,,,0.7
1978-04-01,0.48,0.2,0.4,0.82,,,1.05
1978-05-01,0.32,0.1,0.1,0.4,,,0.52
1978-06-01,0.47,0.2,0.2,0.51,,,0.69
1978-07-01,0.03,-0.1,-0.2,0.29,,,0.68
1978-08-01,0.11,0.0,0.1,0.32,,,0.34
1978-09-01,0.28,0.1,0.1,0.16,,,0.84
1978-10-01,0.28,0.0,0.2,0.38,,,0.84
1978-11-01,0.47,0.2,0.1,0.49,,,0.5
1978-12-01,0.24,0.1,0.0,0.32,,,0.83
1979-01-01,0.24,0.0,0.1,0.15,,,0.49
1979-02-01,0.43,0.2,0.2,0.28,,,0.82
1979-03-01,0.08,0.0,-0.1,0.48,,,0.65
1979-04-01,-0.4,-0.3,-0.2,-0.07,,,-0.16
1979-05-01,0.0,-0.2,0.0,0.42,,,0.97
1979-06-01,0.45,0.2,0.1,0.36,,,0.8
1979-07-01,0.35,0.1,0.1,0.12,,,0.63
1979-08-01,0.09,0.0,-0.2,0.09,,,0.63
1979-09-01,0.41,0.2,0.2,0.03,,,0.78
1979-10-01,0.16,-0.1,-0.1,0.17,,,0.16
1979-11-01,0.11,0.0,0.1,0.1,,,0.77
1979-12-01,0.42,0.2,0.1,0.11,,,0.77
1980-01-01,0.29,0.1,-0.1,0.14,,,0.15
1980-02-01,0.13,0.0,0.0,0.09,,,0.91
1980-03-01,-0.24,-0.3,-0.3,0.12,,,0.9
1980-04-01,0.14,0.1,-0.3,-0.16,,,0.45
1980-05-01,0.32,0.1,-0.3,-0.47,,,0.6
1980-06-01,-0.14,-0.2,-0.2,-0.35,,,0.89
1980-07-01,0.35,0.1,-0.1,-0.29,,,0.59
1980-08-01,-0.05,-0.1,0.0,0.29,,,0.73
1980-09-01,-0.01,-0.1,0.1,0.13,,,0.58
1980-10-01,0.29,0.1,0.0,0.31,,,1.01
1980-11-01,0.15,0.1,0.1,0.28,,,1.0
1980-12-01,-0.2,-0.2,0.0,0.22,,,0.56
1981-01-01,0.63,0.3,0.1,0.1,,,0.7
1981-02-01,0.2,0.0,0.1,0.08,,,0.7
1981-03-01,0.29,0.2,0.2,0.12,,,0.83
1981-04-01,0.34,0.1,0.2,0.08,,,0.55
1981-05-01,0.27,0.1,-0.1,0.01,,,0.55
1981-06-01,-0.76,-0.6,-0.5,0.21,,,0.54
1981-07-01,0.15,0.1,0.1,0.12,,,0.54
1981-08-01,0.16,0.0,0.0,-0.04,,,0.94
1981-09-01,-0.4,-0.3,-0.4,-0.1,,,0.53
1981-10-01,0.67,0.3,0.1,-0.11,,,0.4
1981-11-01,0.19,0.1,-0.2,-0.23,,,0.53
1981-12-01,-0.3,-0.3,-0.4,-0.3,,,0.13
1982-01-01,0.16,0.1,0.0,-0.36,,,1.05
1982-02-01,0.35,0.1,0.0,0.0,,,0.0
1982-03-01,0.09,0.0,-0.1,-0.14,,,0.39
